date,SX5E
2003-01-02,-0.2444621268905718
2003-01-03,-0.19948088878736148
2003-01-06,-0.2067781929702999
2003-01-07,-0.19670754924252387
2003-01-08,-0.20578823449760206
2003-01-09,-0.2258530913357765
2003-01-10,-0.21042138573195654
2003-01-13,-0.21157512409903445
2003-01-14,-0.2084451083397691
2003-01-15,-0.2041431564473835
2003-01-16,-0.2149599085828913
2003-01-17,-0.2167178127825717
2003-01-20,-0.2474793165003753
2003-01-21,-0.2611458387980981
2003-01-22,-0.2705650025015619
2003-01-23,-0.2882932661799128
2003-01-24,-0.2916343760252681
2003-01-27,-0.30418355548799725
2003-01-28,-0.33331089981520756
2003-01-29,-0.3313928552743554
2003-01-30,-0.3207544412460615
2003-01-31,-0.30286239767333056
2003-02-03,-0.2992301235712993
2003-02-04,-0.29101929153304035
2003-02-05,-0.3224541125944068
2003-02-06,-0.3075028280141019
2003-02-07,-0.3277241856402397
2003-02-10,-0.3409284846804896
2003-02-11,-0.34378553394912137
2003-02-12,-0.3202994970950055
2003-02-13,-0.3398366187179552
2003-02-14,-0.34452800280364476
2003-02-17,-0.3167727700360194
2003-02-18,-0.30209445194634793
2003-02-19,-0.28734698234571615
2003-02-20,-0.3137846968518835
2003-02-21,-0.32630839944215345
2003-02-24,-0.3137592199794243
2003-02-25,-0.33110897012409657
2003-02-26,-0.35996334796067325
2003-02-27,-0.368090470275138
2003-02-28,-0.35155234049594974
2003-03-03,-0.33833348324286605
2003-03-04,-0.33772931741026374
2003-03-05,-0.3556905124939552
2003-03-06,-0.3602181166852647
2003-03-07,-0.373775452386734
2003-03-10,-0.39230077821773496
2003-03-11,-0.41270411350429514
2003-03-12,-0.41345022191202707
2003-03-13,-0.4442772375875827
2003-03-14,-0.3986809149921445
2003-03-17,-0.36054203692081654
2003-03-18,-0.33204797485187615
2003-03-19,-0.33355474988017364
2003-03-20,-0.3214350376960414
2003-03-21,-0.3324519652580139
2003-03-24,-0.2988880055697052
2003-03-25,-0.34413857061034075
2003-03-26,-0.3222284602954831
2003-03-27,-0.3267196689547081
2003-03-28,-0.3413251959802103
2003-03-31,-0.3414707781085483
2003-04-01,-0.3761375224190168
2003-04-02,-0.36508419932495983
2003-04-03,-0.3312363544863922
2003-04-04,-0.3229600104903812
2003-04-07,-0.30832900659241963
2003-04-08,-0.2750744089268291
2003-04-09,-0.2868301657901166
2003-04-10,-0.28782012426281445
2003-04-11,-0.30860925218947016
2003-04-14,-0.29948489229589076
2003-04-15,-0.2898437158467116
2003-04-16,-0.27391703100654263
2003-04-17,-0.28220429366217903
2003-04-22,-0.2715331236550091
2003-04-23,-0.2645015068562872
2003-04-24,-0.2563561867757804
2003-04-25,-0.2764101249543296
2003-04-28,-0.290586184701235
2003-04-29,-0.264345006068324
2003-04-30,-0.2722610342966987
2003-05-01,-0.27154768186784284
2003-05-02,-0.27154768186784284
2003-05-05,-0.2723956977654112
2003-05-06,-0.26156802697027803
2003-05-07,-0.247719527012133
2003-05-08,-0.2595699122588401
2003-05-09,-0.28501038918589255
2003-05-12,-0.27523454926800084
2003-05-13,-0.27381512351670606
2003-05-14,-0.27567129565301457
2003-05-15,-0.2767522429559237
2003-05-16,-0.2643486456215324
2003-05-19,-0.26248519437880696
2003-05-20,-0.29928107731621756
2003-05-21,-0.29890620333574747
2003-05-22,-0.3060506462839312
2003-05-23,-0.29420390059043244
2003-05-26,-0.2998088125314426
2003-05-27,-0.3014174950495767
2003-05-28,-0.29516110308425436
2003-05-29,-0.2769706161484306
2003-05-30,-0.2764246831671634
2003-06-02,-0.2694258223473176
2003-06-03,-0.251471906370043
2003-06-04,-0.25623244196669315
2003-06-05,-0.24586699442903284
2003-06-06,-0.2564326173931577
2003-06-09,-0.23599288657451303
2003-06-10,-0.2481380756311044
2003-06-11,-0.2401310585725185
2003-06-12,-0.2248995283951631
2003-06-13,-0.2148871175187224
2003-06-16,-0.22929610867096845
2003-06-17,-0.21038499019987192
2003-06-18,-0.20539516275108968
2003-06-19,-0.19758832111896835
2003-06-20,-0.21049053724291708
2003-06-23,-0.2019958200543991
2003-06-24,-0.2255655666323091
2003-06-25,-0.22694495729831093
2003-06-26,-0.22441546781843955
2003-06-27,-0.22473210894757448
2003-06-30,-0.2245028170954424
2003-07-01,-0.23687001889774897
2003-07-02,-0.2560322665402284
2003-07-03,-0.23656429642823945
2003-07-04,-0.23609479406434966
2003-07-07,-0.24099363268292084
2003-07-08,-0.2126669900615689
2003-07-09,-0.21022121030549182
2003-07-10,-0.21717639648683626
2003-07-11,-0.22872105926403366
2003-07-14,-0.21568417967137254
2003-07-15,-0.20106773398624475
2003-07-16,-0.20635236524491143
2003-07-17,-0.21194635852629634
2003-07-18,-0.2258712891018188
2003-07-21,-0.22252653970325495
2003-07-22,-0.23676083230149564
2003-07-23,-0.23054811497467462
2003-07-24,-0.23339060603047257
2003-07-25,-0.21453772041071137
2003-07-28,-0.22863734954023934
2003-07-29,-0.2123940235709353
2003-07-30,-0.2183446930667481
2003-07-31,-0.2134349357885515
2003-08-01,-0.2003725793234312
2003-08-04,-0.21496354813609983
2003-08-05,-0.2234873817502852
2003-08-06,-0.214210160621951
2003-08-07,-0.2303661373142522
2003-08-08,-0.2308465583377674
2003-08-11,-0.22208251421182434
2003-08-12,-0.21519647954144044
2003-08-13,-0.20881998232023932
2003-08-14,-0.2083977941480594
2003-08-15,-0.19154302323973596
2003-08-18,-0.18979239814647242
2003-08-19,-0.18064256138043389
2003-08-20,-0.17875363326524926
2003-08-21,-0.18477345427202246
