date,UKX
2003-01-02,0.15069605247377696
2003-01-03,0.16663284039226178
2003-01-06,0.1655719254222903
2003-01-07,0.16476470751035546
2003-01-08,0.154616825188889
2003-01-09,0.14709816692343888
2003-01-10,0.14921999686338183
2003-01-13,0.15846840779726373
2003-01-14,0.15251805861785847
2003-01-15,0.15189534765722296
2003-01-16,0.1385647204258421
2003-01-17,0.13718091829109666
2003-01-20,0.12306613651669324
2003-01-21,0.11337952157347525
2003-01-22,0.10371596999916967
2003-01-23,0.09017777244757696
2003-01-24,0.07730841259444445
2003-01-27,0.07304168934564606
2003-01-28,0.04469680895227732
2003-01-29,0.046818638892220266
2003-01-30,0.04538871001965003
2003-01-31,0.06727584711754012
2003-02-03,0.06466968643043629
2003-02-04,0.0928069965035933
2003-02-05,0.06990507117355645
2003-02-06,0.09033921602996388
2003-02-07,0.0714964436285137
2003-02-10,0.07200383774458699
2003-02-11,0.06736810059318983
2003-02-12,0.08814819598328362
2003-02-13,0.07590154709078663
2003-02-14,0.07467918853842823
2003-02-17,0.07493288559646487
2003-02-18,0.09349889757096601
2003-02-19,0.10205540743747521
2003-02-20,0.08563428877182952
2003-02-21,0.0922996023875199
2003-02-24,0.10150188658357702
2003-02-25,0.09566685424873386
2003-02-26,0.07714696901205753
2003-02-27,0.07064309897875407
2003-02-28,0.06524627065324688
2003-03-03,0.08501157781119402
2003-03-04,0.0917230181647093
2003-03-05,0.07802337703072967
2003-03-06,0.06377021504285174
2003-03-07,0.061902082160945435
2003-03-10,0.04718765279481902
2003-03-11,0.034364419679511427
2003-03-12,0.03821600228788615
2003-03-13,0.0
2003-03-14,0.04610367445593515
2003-03-17,0.07260348533631009
2003-03-18,0.10039484487578074
2003-03-19,0.10616068710388668
2003-03-20,0.11033515687703536
2003-03-21,0.11040434698377256
2003-03-24,0.13240680092622487
2003-03-25,0.10523815234738973
2003-03-26,0.10955100233401294
2003-03-27,0.1167237100657767
2003-03-28,0.1019631539618255
2003-03-31,0.09721209996586622
2003-04-01,0.07525577276123882
2003-04-02,0.09174608153362182
2003-04-03,0.10756755260754451
2003-04-04,0.11164976890504347
2003-04-07,0.12163620764412302
2003-04-08,0.1496351375038055
2003-04-09,0.13418268033248157
2003-04-10,0.13247599103296218
2003-04-11,0.119076173694844
2003-04-14,0.12018321540264026
2003-04-15,0.12970838676347132
2003-04-16,0.14525309741044498
2003-04-17,0.13097687205365463
2003-04-22,0.13888760759061594
2003-04-23,0.14546066773065672
2003-04-24,0.15671559175991956
2003-04-25,0.1411478177440335
2003-04-28,0.13450556749725542
2003-04-29,0.15067298910486457
2003-04-30,0.1477900679908116
2003-05-01,0.14737492735038793
2003-05-02,0.13678884101958538
2003-05-06,0.15350978348109262
2003-05-07,0.16591787595597665
2003-05-08,0.16280432115279944
2003-05-09,0.14804376504884822
2003-05-12,0.15738442945837985
2003-05-13,0.16153583586261613
2003-05-14,0.1644187569766691
2003-05-15,0.15867597811747558
2003-05-16,0.16700185429486053
2003-05-19,0.17574287111266917
2003-05-20,0.1509036227939888
2003-05-21,0.15789182357445314
2003-05-22,0.14977351771728
2003-05-23,0.16222773692998885
2003-05-27,0.15978301982527196
2003-05-28,0.16268900430823732
2003-05-29,0.18102438259361422
2003-05-30,0.18372279675636777
2003-06-02,0.17553530079245733
2003-06-03,0.1942627563493455
2003-06-04,0.1911261381772558
2003-06-05,0.1936400453887101
2003-06-06,0.18849691412123956
2003-06-09,0.19922138066551662
2003-06-10,0.1942166296115207
2003-06-11,0.1905034272166204
2003-06-12,0.1990599370831297
2003-06-13,0.20164303440132111
2003-06-16,0.19536979805714189
2003-06-17,0.19970571141267737
2003-06-18,0.2083544747548363
