date,SPX
2003-01-02,0.10095697819361059
2003-01-03,0.11546311884507085
2003-01-06,0.11524460799650386
2003-01-07,0.12538549783227307
2003-01-08,0.12236607519752883
2003-01-09,0.11591007285350337
2003-01-10,0.12467533757443029
2003-01-13,0.12467037141878105
2003-01-14,0.12401980502872922
2003-01-15,0.12670152907932442
2003-01-16,0.12002701588673195
2003-01-17,0.11822926754170332
2003-01-21,0.11186265599936433
2003-01-22,0.10483057960002584
2003-01-23,0.10023191946882001
2003-01-24,0.10469152724184685
2003-01-27,0.09180931948769139
2003-01-28,0.08489643082393492
2003-01-29,0.09038899897200578
2003-01-30,0.09327930155986952
2003-01-31,0.08347114415260005
2003-02-03,0.08897861076761872
2003-02-04,0.0912729746775724
2003-02-05,0.08525399403068096
2003-02-06,0.08296459627637653
2003-02-07,0.0802630076031843
2003-02-10,0.07606163992391854
2003-02-11,0.07918038567164776
2003-02-12,0.07581829829710526
2003-02-13,0.07059390255409384
2003-02-14,0.06994333616404207
2003-02-18,0.0786440408615287
2003-02-19,0.08672894225850826
2003-02-20,0.08372938424636106
2003-02-21,0.07974156126001304
2003-02-24,0.08523909556373316
2003-02-25,0.07749685890655189
2003-02-26,0.08047158614045286
2003-02-27,0.07499888261497892
2003-02-28,0.07983095206169952
2003-03-03,0.08175285429795941
2003-03-04,0.07860431161633467
2003-03-05,0.07223770007399574
2003-03-06,0.07614109841430652
2003-03-07,0.0722923277861375
2003-03-10,0.07566434747197848
2003-03-11,0.06503180822693347
2003-03-12,0.06167965316368948
2003-03-13,0.06339794301833013
2003-03-14,0.07715916032240283
2003-03-17,0.07783952364635013
2003-03-18,0.09249961512293718
2003-03-19,0.09431722809056285
2003-03-20,0.09807660791704535
2003-03-21,0.09889602359917164
2003-03-24,0.10888792876546337
2003-03-25,0.09321474153642927
2003-03-26,0.09843417112379138
2003-03-27,0.09605538256780048
2003-03-28,0.09534522230995765
2003-03-31,0.09285221217403397
2003-04-01,0.0852440617193824
2003-04-02,0.0903592020381103
2003-04-03,0.1014933230037296
2003-04-04,0.09928338373981321
2003-04-07,0.10047526109563329
2003-04-08,0.1010116059057523
2003-04-09,0.10019715637927525
2003-04-10,0.09408878493069732
2003-04-11,0.0968648659386283
2003-04-14,0.09523596688567412
2003-04-15,0.10364366839985502
2003-04-16,0.10641478325213669
2003-04-17,0.1010016735944538
2003-04-21,0.10779040836697908
2003-04-22,0.10701072193004675
2003-04-23,0.11662519926699545
2003-04-24,0.12042430833867196
2003-04-25,0.11665499620089093
2003-04-28,0.11038770777153697
2003-04-29,0.11834845527728534
2003-04-30,0.11983830197206044
2003-05-01,0.11938141565232938
2003-05-02,0.11907351400207584
2003-05-05,0.12591687648674288
2003-05-06,0.12416382354255746
2003-05-07,0.12805728957156975
2003-05-08,0.12568843332687735
2003-05-09,0.12104507779482826
2003-05-12,0.12757060631794323
2003-05-13,0.13338100842756617
2003-05-14,0.13198551869012679
2003-05-15,0.1304857396840532
2003-05-16,0.1341557287088492
2003-05-19,0.13297874981997684
2003-05-20,0.12129338557729077
2003-05-21,0.12077690538976875
2003-05-22,0.12260941682434211
2003-05-23,0.12680581834795868
2003-05-27,0.1274762493606075
2003-05-28,0.13654444957613865
2003-05-29,0.13740856065910823
2003-05-30,0.13563067693667658
2003-06-02,0.14255846406738085
2003-06-03,0.1442519231437752
2003-06-04,0.14651649011983334
2003-06-05,0.1538068066129329
2003-06-06,0.1557436073161405
2003-06-09,0.15456166227161894
2003-06-10,0.14868670013855573
2003-06-11,0.15311154482203784
2003-06-12,0.1593887655626903
2003-06-13,0.15990027959456307
2003-06-16,0.15498378550180522
2003-06-17,0.16597388795359627
